Geoid,Geographic Area Name,Total_Population_25_over_Bachelor's_degree_or_higher
19123950700,"Census Tract 9507, Mahaska County, Iowa",242
19125030101,"Census Tract 301.01, Marion County, Iowa",1372
19125030102,"Census Tract 301.02, Marion County, Iowa",449
19125030201,"Census Tract 302.01, Marion County, Iowa",1261
19125030202,"Census Tract 302.02, Marion County, Iowa",753
19125030300,"Census Tract 303, Marion County, Iowa",615
19125030401,"Census Tract 304.01, Marion County, Iowa",754
19125030402,"Census Tract 304.02, Marion County, Iowa",753
19125030500,"Census Tract 305, Marion County, Iowa",115
19125030600,"Census Tract 306, Marion County, Iowa",467
19125030700,"Census Tract 307, Marion County, Iowa",245
19127950100,"Census Tract 9501, Marshall County, Iowa",334
19127950200,"Census Tract 9502, Marshall County, Iowa",604
